Region,Sub-Category,Avg_Daily_Demand,Current_Inventory,Velocity_Class,Unit_Margin,Holding_Cost_Rate,Lead_Time,Reorder_Point,Reorder_Status,Sales_Frequency,Total_Sales,Total_Profit
West,Chairs,3.140197152245345,47,B,699.0049023369376,91.31,4,19,False,1043,26177151.3,4008094.11
East,Beds,3.1391018619934283,47,B,694.9613136775995,93.62,4,19,False,1056,26830783.49,3983518.25
North,Mangoes,3.135815991237678,47,B,675.8818774013273,89.83,4,19,False,1023,25718824.13,3870099.63
West,Sofas,3.134720700985761,47,B,681.1355957372467,91.78,4,19,False,1048,26268137.99,3898820.15
North,Washing Machines,3.133077765607886,47,B,667.1131218318476,90.49,4,19,False,1048,25885356.75,3816554.17
West,Cheese,3.124315443592552,78,C,708.3077195442594,95.48,6,25,False,1041,27235771.89,4040895.54
West,Beds,3.1226725082146767,78,C,673.7141406524026,88.35,6,25,False,1022,25187703.57,3841518.03
South,Fries,3.1193866374589265,78,C,678.6759673455057,90.61,6,25,False,1044,25805339.65,3865738.31
South,Washing Machines,3.113910186199343,78,C,678.9393914878649,92.17,6,25,False,1046,26204562.13,3860449.38
South,Yogurt,3.111719605695509,78,C,656.7985550862372,89.85,6,25,False,1039,25526939.88,3731929.39
South,Burgers,3.1106243154435926,78,C,670.6617394366198,89.15,6,25,False,1029,25319116.7,3809358.68
West,Apples,3.1106243154435926,78,C,704.2297834507042,94.86,6,25,False,1042,26938838.73,4000025.17
South,Mangoes,3.1062431544359255,78,C,687.8016114245416,92.84,6,25,False,1053,26328716.99,3901210.74
East,Buckets,3.103504928806134,78,C,681.8844344450326,91.55,6,25,False,1036,25940418.29,3864239.09
West,Mangoes,3.1007667031763417,78,C,674.0635446838573,91.15,6,25,False,1039,25805774.81,3816547.79
West,Tomatoes,3.098576122672508,77,C,674.6831035701662,91.05,6,25,False,1041,25759122.65,3817357.0
South,Tomatoes,3.0903614457831323,77,C,687.9613326244905,92.15,6,25,False,1020,26000646.31,3882165.8
South,Beds,3.0903614457831323,77,C,698.4283767499558,92.68,6,25,False,1030,26151002.16,3941231.33
East,Fans,3.0815991237677984,77,C,697.4798649369113,92.43,6,24,False,1017,26004010.84,3924719.2
East,Burgers,3.08105147864184,77,C,713.1206896551724,95.18,6,24,False,1034,26774758.62,4012017.0
West,Butter,3.0799561883899234,77,C,680.9841447368422,91.52,6,24,False,1029,25735328.71,3829854.83
West,Washing Machines,3.078860898138007,77,C,680.9176414087514,91.34,6,24,False,1023,25674936.02,3828118.98
West,Fans,3.072289156626506,77,C,681.275559714795,91.23,6,24,False,1029,25591221.62,3821955.89
North,Milk,3.070646221248631,77,C,678.2706795077582,92.14,6,24,False,1034,25831198.57,3803063.7
East,Detergents,3.0657174151150053,77,C,706.5547927831368,94.15,6,24,False,1042,26353773.76,3955293.73
West,Carrots,3.065169769989047,77,C,684.08707879221,90.09,6,24,False,1027,25210859.02,3828835.38
East,Tomatoes,3.0613362541073386,77,C,701.8153846153846,93.65,6,24,False,1055,26176035.06,3923148.0
West,Pizzas,3.0602409638554215,77,C,693.2195544022907,91.61,6,24,False,1040,25596154.36,3873710.87
West,Utensils,3.0569550930996714,76,C,657.9559745610892,87.27,6,24,False,998,24356698.61,3672710.25
East,Mangoes,3.0542168674698793,76,C,703.916677425139,93.18,6,24,False,1036,25984003.69,3925743.31
East,Tables,3.0531215772179627,76,C,692.5187103139014,93.74,6,24,False,1003,26130885.4,3860791.81
West,Tables,3.0503833515881706,76,C,681.5333608617594,92.18,6,24,False,1020,25673207.46,3796140.82
South,Cheese,3.0470974808324205,76,C,708.6533878504673,92.62,6,24,False,1029,25767442.32,3942947.45
North,Apples,3.043263964950712,76,C,696.2570001799533,92.0,6,24,False,1020,25561856.07,3869100.15
South,Chairs,3.0421686746987953,76,C,628.9065094509451,85.13,6,24,False,975,23644556.8,3493575.66
East,Cheese,3.0339539978094194,76,C,702.9401768953069,93.82,6,24,False,1033,25988907.17,3894288.58
East,Butter,3.033406352683461,76,C,691.7847048203647,92.73,6,24,False,1022,25681362.59,3831795.48
West,Burgers,3.032858707557503,76,C,722.7512856626942,94.64,6,24,False,1012,26207038.58,4002596.62
North,Sandwiches,3.026286966046002,76,C,664.470492218603,90.16,6,24,False,1017,24910352.93,3671863.94
East,Refrigerators,3.0251916757940855,76,C,679.2075253439536,91.32,6,24,False,997,25221954.53,3751942.37
West,Fries,3.0191675794085433,75,C,684.8525793578814,91.21,6,24,False,1026,25143260.15,3775592.27
West,Buckets,3.008762322015334,75,C,704.6048416454314,94.15,6,24,False,1017,25863715.8,3871099.0
East,Sandwiches,3.0060240963855422,75,C,680.7959154672982,89.34,6,24,False,1004,24519201.58,3736888.78
South,Milk,3.0049288061336252,75,C,710.3073300528522,94.99,6,24,False,1017,26061673.6,3897456.32
North,Fans,3.002738225629792,75,C,663.1671967900785,89.55,6,24,False,991,24551299.33,3636145.74
West,Detergents,3.002738225629792,75,C,664.1060897318986,88.55,6,24,False,1016,24275790.77,3641293.69
East,Chairs,2.984118291347207,75,C,705.2190346852634,94.27,6,24,False,1002,25684356.13,3842738.52
North,Utensils,2.9715224534501643,74,C,689.88809067453,92.8,6,24,False,1014,25175907.45,3743332.78
North,Buckets,2.965498357064622,74,C,711.7962049861496,93.6,6,24,False,1030,25341364.13,3854376.45
East,Yogurt,2.9583789704271632,74,C,700.1604424287301,92.73,6,24,False,975,25046817.23,3782266.71
South,Sofas,2.952354874041621,74,C,706.200856983862,92.68,6,24,False,982,24982850.86,3807128.82
West,Yogurt,2.923329682365827,73,C,711.4007137504684,94.52,6,24,False,998,25228423.919999998,3797457.0100000002
North,Chairs,2.91894852135816,73,C,669.8815666041276,90.04,6,24,False,965,23996210.49,3570468.75
